group_review,id_revue,issn_p,issn_e
G1,2,0002-0478,1782-138X
G1,3,0247-3739,1963-1707
G1,5,0180-8214,2272-8988
G1,6,0014-0759,2111-4579
G1,9,0590-0239,1777-5787
G1,10,0246-2346,2111-4587
G1,13,0182-2411,2108-6753
G1,14,1762-3162,2271-6815
G1,14,1241-5294,
G1,15,0184-7783,1950-6236
G1,16,0152-0768,2101-0390
G1,17,0765-1333,1968-3898
G1,19,0033-0884,2108-6648
G1,19,0033-0884,2108-6648
G1,22,1771-8848,2264-5306
G1,24,0035-2578,1963-1790
G1,25,0035-2950,1950-6686
G1,26,0035-2969,1958-5691
G1,28,0335-5322,1955-2564
G1,29,0003-4436,1952-403X
G1,30,0003-7176,2552-0563
G1,36,0008-008X,1777-5264
G1,38,0008-0217,2270-5570
G1,39,0008-0276,1969-6787
G1,41,1285-087X,2553-825X
G1,42,1148-2664,2102-5991
G1,45,1290-7839,1777-554X
G1,46,1157-996X,1777-5345
G1,48,2105-7508,2117-5969
G1,53,1240-8093,1777-5582
G1,53,2110-7017,2542-6869
G1,54,0014-1941,2102-5800
G1,55,0046-4910,2804-0414
G1,56,0337-307X,1958-5764
G1,57,1626-1429,2116-2344
G1,58,1155-3219,1776-2944
G1,60,0338-487X,1776-2987
G1,65,1145-1378,2104-3698
G1,66,0066-2399,1969-6760
G1,71,0243-6450,1960-6001
G1,74,1265-9576,1777-5647
G1,74,0751-6614,2741-9258
G1,76,0032-342X,1958-8992
G1,77,0758-1726,2119-4831
G1,77,0758-1726,2119-4831
G1,78,0295-2319,1953-8286
G1,80,0335-2013,2105-2654
G1,82,0751-7971,1777-5809
G1,84,0987-3368,1777-5744
G1,85,0035-2764,1950-6694
G1,86,0152-7401,1965-0620
G1,88,1151-2385,2105-2867
G1,89,0294-0833,2257-2813
G1,90,1266-7862,2119-3851
G1,91,0035-3264,2104-3825
G1,92,1370-0731,1782-1533
G1,93,1287-1672,2104-3876
G1,95,2554-3415,2554-3555
G1,95,0040-7356 1293-8882,1963-1359
G1,96,0996-6994,1775-4232
G1,98,2649-664X,2649-6100
G1,98,0294-1759,1950-6678
G1,101,1270-6841,2101-0366
G1,105,0223-5439,2669-6541
G1,106,1777-375X,2108-6583
G1,111,0002-5712,2551-9409
G1,112,1634-6386,2108-6575
G1,115,0769-489X,2272-6497
G1,115,2115-4430,1968-3863
G1,143,1622-1494,2111-434X
G1,170,2428-2111,2431-3467
G1,170,0012-4508,1777-5868
G1,181,0249-4744,1777-5795
G1,181,0338-4217,2547-4030
G1,182,1293-6146,1965-0612
G1,186,2827-6329,2967-428X
G1,186,1956-922X,2967-4271
G1,189,0014-0481,1961-8700
G1,205,0295-4397,2271-7943
G1,207,1142-852X,2262-3353
G1,207,3075-6812,3076-6338
G1,208,0018-7372,2271-1791
G1,215,0336-1454,1777-5574
G1,215,0423-5681,2437-2269
G1,226,2260-166X,2273-2438
G1,226,0769-0975,2796-6453
G1,244,1767-3755,2271-1929
G1,275,2554-7011,2555-9699
G1,307,1165-2675,2553-615X
G1,316,0038-0296,1777-5701
G1,317,1021-9013,1996-4609
G1,318,0304-3274,1684-3436
G1,324,0244-7827,2264-5047
G1,344,0035-0974,2605-7913
G1,349,0154-3229,1773-0198
G1,350,0338-0599,2259-6100
G1,350,0035-1415,2259-6097
G1,351,1768-6520,1760-6233
G1,352,0252-8290,
G1,353,0338-4551,1777-5663
G1,354,0769-0479,1760-7388
G1,356,0035-3337,1953-8111
G1,357,0304-3037,2222-4610
G1,362,1168-1446,2275-2145
G1,362,0998-8262,2823-099X
G1,366,0756-2640,2822-8855
G1,378,0224-4365,1775-416X
G1,397,0242-6870,2496-8617
G1,411,1764-2507,2104-3671
